recipe_code,list_korean
439,굵은소금
439,청고추
439,홍고추
439,쪽파
439,물
439,꽃소금
439,밀가루
438,깻잎
438,간장
438,물
438,들기름
438,청고추
438,홍고추
438,조청
437,쌀국수
437,통계피
437,대파
437,쇠고기
437,청고추
437,피시소스
437,고수잎
437,소금
437,[쇠고기육수] 쇠뼈
437,쇠꼬리
437,양파
437,생강
437,팔각
437,정향
437,숙주
436,우동면
436,양파
436,청고추
436,홍고추
436,간마늘
436,버터
436,숙주
436,굴소스
436,간장
436,맛술
436,간생강
435,수삼
435,크림치즈
435,양상추
435,마요네즈
435,적채
435,치커리
435,"무,래디쉬"
434,햄
434,양파
434,청피망
434,홍피망
434,후춧가루
434,치즈
434,파슬리가루
434,소금
434,밥
433,잔멸치
433,간장
433,설탕
433,밥
433,깨소금
433,치즈
433,식용유
432,새우
432,석이버섯
432,팽이버섯
432,오이
432,당근
432,양상추
432,소금
432,무순
432,배
432,겨자
432,식초
432,설탕
432,부추
431,갈치
431,물엿
431,애호박
431,당근
431,대파
431,양파
431,홍고추
431,청고추
431,굵은고춧가루
431,고운고춧가루
431,설탕
431,다진생강
431,다진마늘
431,정종
431,된장
431,후춧가루
431,소금
431,간장
431,무
430,갈치
430,소금
430,밀가루
430,레몬
430,후춧가루
429,고등어
429,소금
429,애호박
429,당근
429,대파
429,양파
429,홍고추
429,풋고추
429,팽이버섯
429,간장
429,굵은고춧가루
429,고운고춧가루
429,설탕
429,물엿
429,생강
429,마늘
429,정종
429,된장
429,후춧가루
429,무
428,정종
428,청고추
428,마늘
428,참기름
428,깨소금
428,물엿
428,고등어
428,간장
428,굵은고춧가루
428,고운고춧가루
428,대파
428,양파
428,실파
428,홍고추
428,생강
427,애호박
427,고추장
427,도라지
427,숙주
427,시금치
427,고사리
427,상추
427,육회
427,계란후라이
427,다진파
427,다진마늘
427,깨소금
427,후춧가루
427,참기름
427,설탕
427,취나물
426,쇠고기
426,육수
426,당근
426,양파
426,홍고추
426,콩나물
426,애호박
426,팽이버섯
426,쑥갓
426,간장
426,설탕
426,다진파
426,다진마늘
426,고춧가루
426,고추장
426,생강즙
426,깨소금
426,후춧가루
426,낙지
425,무말랭이
425,다진파
425,다진마늘
425,간장
425,설탕
425,깨소금
425,멸치액젓
425,고춧가루
425,고추장
424,쌈다시마
424,오징어
424,게맛살
424,오이
424,파프리카
424,초고추장
424,홍피망
423,고춧가루
423,정종
423,설탕
423,다시물
423,우엉
423,돼지고기
423,간장
423,생강즙
422,상추
422,밥
422,다진쇠고기
422,다진양파
422,간장
422,고추장
422,다진파
422,다진마늘
422,깨소금
422,참기름
422,설탕
421,양파
421,다진쇠고기
421,두부
421,다진파
421,다진마늘
421,홍고추
421,소금
421,참기름
421,후춧가루
421,밀가루
421,계란
421,깨소금
420,봄동
420,영양부추
420,고춧가루
420,까나리액젓
420,깨소금
420,다진마늘
420,다진파
420,다진생강
420,참기름
420,새우젓
419,멸치다시물
419,콩나물
419,다진마늘
419,다진파
419,홍고추
419,국간장
419,소금
419,후춧가루
419,북어
418,통마늘
418,식초
418,설탕
418,식초
418,[절임간장] 진간장
418,설탕
418,멸치
417,대구살
417,계란
417,쑥갓
417,식용유
417,후춧가루
417,밀가루
417,소금
416,마늘
416,배추
416,파슬리
416,양념
416,굴
416,배
416,오이
416,청고추
416,홍고추
416,실파
416,생밤
415,고등어
415,생강
415,피망
415,양파
415,실파
415,마늘
415,육수
415,설탕
415,녹말
415,간장
415,토마토케찹
414,쇠고기
414,양파
414,대파
414,표고버섯
414,다진마늘
414,간장
414,밥
414,설탕
414,소금
414,참기름
414,후춧가루
414,깨소금
414,맛술
413,브로콜리
413,베이컨
413,채소
413,머스타드
413,케첩
412,생대구
412,다시마
412,가쓰오브시
412,미나리
412,청고추
412,홍고추
412,마늘
412,소금
412,팽이버섯
412,두부
411,닭고기
411,마늘
411,대파
411,생강
411,미역
411,밀가루
411,깨소금
411,후춧가루
411,국간장
411,설탕
411,다진파
411,다진마늘
411,소금
410,설탕
410,계핏가루
410,양파
410,만두피
410,식용유
410,물
409,닭
409,간장
409,계란
409,녹말
409,튀김가루
409,마늘
409,참기름
409,마른고추
409,표고버섯
409,피망
409,고춧기름
409,청주
409,육수
409,대파
408,단호박
408,황설탕
408,후춧가루
408,소금
408,버터
407,돼지고기
407,고추장
407,고춧가루
407,간장
407,미림
407,후춧가루
407,다진마늘
407,설탕
407,물엿
407,깨소금
407,참기름
407,다진파
406,녹두
406,쌀
406,설탕
406,소금
406,물
405,꽃게
405,간장
405,물
405,생강
405,마늘
405,청고추
405,설탕
405,채썬마늘
405,채썬생강
405,고춧가루
405,참기름
405,깨소금
405,다진파
404,맛조개
404,새우
404,당근
404,팽이버섯
404,표고버섯
404,미나리
404,곤약
404,다시마
404,가쓰오브시
404,소금
404,청주
404,폰즈소스
404,와사비소스
404,깨소스
404,낙지
403,밀가루
403,쇠고기
403,간장
403,설탕
403,참기름
403,깨소금
403,케첩
403,양파
403,튀김기름
403,계란
403,치자
403,마늘
403,피망
403,후춧가루
402,라면
402,겨자
402,계란
402,꽃상추
402,깻잎
402,치커리
402,양파
402,고추장
402,간장
402,식초
402,설탕
